Student,School,Reading,Math
Boris Fisher,Brearley,755,709
Boris Landry,Dalton,633,779
Roth Wade,Kellenburg,649,613
Stacey Ortiz,Columbia,751,502
Simone Schmidt,Brearley,574,650
Sonya Bruce,Kellenburg,532,599
September Bray,Columbia,626,460
Owen Velasquez,Dalton,489,416
Bryar Kirkland,Dalton,697,552
Upton Combs,Brearley,762,545
Hanae Taylor,Columbia,695,772
Kasper Alvarado,Kellenburg,723,607
Davis Fulton,Brearley,673,707
Zephr Blake,Dalton,690,481
Mariam Ellis,Columbia,561,719
Reese Gibson,Kellenburg,739,765
Thane Booker,Dalton,584,604
Bruce Chandler,Brearley,451,777
Wing Jackson,Kellenburg,446,716
Nevada Erickson,Columbia,733,748
Hop Ramirez,Kellenburg,591,447
Ella Blanchard,Dalton,521,690
Aphrodite Santos,Brearley,556,677
Rina Preston,Columbia,628,477
Victor Levy,Dalton,703,585
Harriet Farmer,Brearley,687,667
Larissa Pugh,Kellenburg,611,467
Rama Livingston,Columbia,549,354
Sydney Byers,Dalton,441,447
Irma Russo,Brearley,452,402
Ralph Joseph,Columbia,625,635
Henry Walls,Kellenburg,465,529
Rafael Baxter,Brearley,621,758
Knox Giles,Dalton,425,442
Jamalia O'donnell,Kellenburg,679,473
Fitzgerald Harrell,Columbia,545,421
Naida Castaneda,Dalton,412,491
Cailin Wise,Brearley,583,515
Dillon Le,Columbia,595,771
MacKensie Rivas,Kellenburg,731,551
Candace Moon,Brearley,494,477
Eagan Wise,Dalton,647,607
Allistair Riley,Kellenburg,418,692
Dane Case,Columbia,736,569
Camilla Steele,Brearley,412,487
Penelope Dudley,Dalton,406,694
Quyn Coffey,Columbia,508,510
Clementine Marks,Kellenburg,770,673
Justin Cervantes,Brearley,573,451
Keefe Raymond,Kellenburg,499,755
Karyn Hampton,Dalton,579,658
Ursula Rocha,Columbia,642,516
Colette Benjamin,Brearley,643,623
Dean Thomas,Dalton,643,665
Sarah Chambers,Columbia,499,615
Beverly Hines,Brearley,490,764
Boris Medina,Kellenburg,429,725
Paul Gibson,Dalton,620,372
Aristotle Durham,Columbia,564,432
Hedwig Lott,Brearley,552,765
Kellie Sosa,Kellenburg,680,483
Dana Allison,Dalton,772,596
Aline Hill,Columbia,525,738
Bruno Olsen,Brearley,656,493
Zachary Morgan,Dalton,620,443
Adria Lindsey,Kellenburg,436,561
Jonah Parrish,Columbia,491,634
Fatima Ballard,Brearley,447,543
Levi Waller,Kellenburg,529,553
Lana Velez,Dalton,612,441
Stephen Ochoa,Columbia,744,624
Ezekiel Carter,Brearley,675,564
Reagan Graves,Dalton,502,615
Kirsten Hall,Columbia,759,777
Deanna Washington,Kellenburg,610,355
Keefe Gonzalez,Brearley,681,657
Nero Burns,Kellenburg,494,620
Ila Black,Dalton,402,500
Eleanor Mckee,Columbia,712,649
Allistair Frederick,Brearley,685,665
Oren Marsh,Dalton,786,427
Melyssa Valenzuela,Kellenburg,510,547
Fitzgerald Paul,Columbia,437,392
Aiko Harper,Brearley,773,508
Constance Keller,Dalton,609,544
Vladimir Mathis,Kellenburg,411,620
Deacon Good,Columbia,749,620
Oprah Wells,Brearley,775,562
Channing Harrell,Dalton,696,697
Ivan Sawyer,Kellenburg,702,482
Ralph Peck,Columbia,432,429
Britanney Camacho,Brearley,452,747
Hayden Price,Kellenburg,512,375
Derek Stuart,Dalton,568,500
Xenos Justice,Columbia,527,423
Pascale Lucas,Brearley,470,561
Wanda Cross,Dalton,458,732
Kameko Clemons,Kellenburg,503,615
Nasim Andrews,Columbia,664,572
Zane Hodges,Brearley,716,610
Bruce O'connor,Kellenburg,786,560
Yardley Levy,Dalton,442,556
Nola Brock,Columbia,504,780
Blake Jarvis,Brearley,738,783
Erich Valentine,Dalton,490,623
Nicholas Evans,Kellenburg,771,516
Lois Wolf,Columbia,785,581
Lucy Leblanc,Brearley,642,726
Ian Stevens,Kellenburg,677,353
Tobias Rodgers,Dalton,434,625
Melinda Battle,Columbia,409,685
Rhea Hunt,Brearley,758,648
Nell Wise,Dalton,572,400
Porter Heath,Kellenburg,732,791
Lois Kirk,Columbia,541,667
Joan Collier,Brearley,703,662
Shea Bonner,Kellenburg,459,788
Mason Branch,Dalton,736,694
Dale Anthony,Columbia,612,398
Kasimir Mercer,,791,510
